id,Player,height,weight,college,born,birth_city,birth_state
1639,Richard Coffey,198,96,University of Minnesota,1965,Aurora,North Carolina
1640,Derrick Coleman,208,104,Syracuse University,1967,Mobile,Alabama
1641,Bimbo Coles,185,81,Virginia Polytechnic Institute and State University,1968,Covington,Virginia
1642,Anthony Cook,206,92,University of Arizona,1967,Los Angeles,California
1643,Tony Dawson,201,97,Florida State University,1967,Kinston,North Carolina
1644,Mario Elie,196,95,American International College,1963,New York,New York
1645,Danny Ferry,208,104,Duke University,1966,Hyattsville,Maryland
1646,Greg Foster,211,108,University of Texas at El Paso,1968,Oakland,California
1647,Tate George,196,86,University of Connecticut,1968,Newark,New Jersey
1648,Kendall Gill,196,88,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
1649,Gerald Glass,196,100,University of Mississippi,1967,Greenwood,Mississippi
1650,Dan Godfread,208,113,University of Evansville,1967,Fort Wayne,Indiana
1651,Jim Grandholm,213,106,University of South Florida,1960,Elkhart,Indiana
1652,Tony Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
1653,Steve Henson,180,80,Kansas State University,1968,Junction City,Kansas
1654,Sean Higgins,206,92,University of Michigan,1968,Los Angeles,California
1655,Tyrone Hill,206,108,Xavier University,1968,Cincinnati,Ohio
1656,Dave Jamerson,196,86,Ohio University,1967,Clarksburg,West Virginia
1657,Henry James,203,99,St. Mary's University,1965,Centreville,Alabama
1658,Les Jepsen,213,107,University of Iowa,1967,Bowbells,North Dakota
1659,Alec Kessler,211,104,University of Georgia,1967,Minneapolis,Minnesota
1660,Bo Kimble,193,86,Loyola Marymount University,1966,Philadelphia,Pennsylvania
1661,Negele Knight,185,79,University of Dayton,1967,Detroit,Michigan
1662,Kurk Lee,190,86,Towson University,1967,Baltimore,Maryland
1663,Marcus Liberty,203,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
1664,Ian Lockhart,203,108,University of Tennessee,1967,Nassau,Bahamas
1665,Tony Massenburg,206,99,University of Maryland,1967,Sussex,Virginia
1666,Travis Mays,188,86,University of Texas at Austin,1968,Ocala,Florida
1667,Terry Mills,208,104,University of Michigan,1967,Romulus,Michigan
1668,Chris Munk,206,102,University of Southern California,1967,San Francisco,California
1669,Jerrod Mustaf,208,107,University of Maryland,1969,Whiteville,North Carolina
1670,Dan O'Sullivan,208,113,Fordham University,1968,Bronx,New York
1671,Alan Ogg,218,108,University of Alabama at Birmingham,1967,Lancaster,Ohio
1672,Brian Oliver,193,95,Georgia Institute of Technology,1968,Chicago,Illinois
1673,Gerald Paddio,201,92,"University of Nevada, Las Vegas",1965,Lafayette,Louisiana
1674,Walter Palmer,216,97,Dartmouth College,1968,Ithaca,New York
1675,Gary Payton*,193,81,Oregon State University,1968,Oakland,California
1676,Kevin Pritchard,190,81,University of Kansas,1967,Bloomington,Indiana
1677,Larry Robinson,190,81,Centenary College of Louisiana,1968,Bossier City,Louisiana
1678,Rumeal Robinson,188,88,University of Michigan,1966,Mandeville,Jamaica
1679,Steve Scheffler,206,113,Purdue University,1967,Grand Rapids,Michigan
1680,Dwayne Schintzius,216,117,University of Florida,1968,Brandon,Florida
1681,Dennis Scott,203,103,Georgia Institute of Technology,1968,Hagerstown,Maryland
1682,Lionel Simmons,201,95,La Salle University,1968,Philadelphia,Pennsylvania
1683,Felton Spencer,213,120,University of Louisville,1968,Louisville,Kentucky
1684,Irving Thomas,203,102,Florida State University,1966,Brooklyn,New York
1685,Andy Toolson,198,95,Brigham Young University,1966,Chicago,Illinois
1686,Loy Vaught,206,104,University of Michigan,1968,Grand Rapids,Michigan
1687,Jayson Williams,206,108,St. John's University,1968,Ritter,South Carolina
1688,Kenny Williams,188,79,St. John's University,1961,New York,New York
1689,Scott Williams,208,104,University of North Carolina,1968,Hacienda Heights,California
1690,Trevor Wilson,201,95,"University of California, Los Angeles",1968,Los Angeles,California
1691,Kennard Winchester,196,95,Averett University,1966,Chestertown,Maryland
1692,Howard Wright,190,83,Austin Peay State University,1947,Louisville,Kentucky
1693,Victor Alexander,206,120,Iowa State University,1969,Detroit,Michigan
1694,Kenny Anderson,183,76,Georgia Institute of Technology,1970,Queens,New York
1695,Greg Anthony,183,79,"University of Nevada, Las Vegas",1967,Las Vegas,Nevada
1696,Stacey Augmon,203,92,"University of Nevada, Las Vegas",1968,Pasadena,California
1697,Isaac Austin,208,115,Arizona State University,1969,Gridley,California
1698,Steve Bardo,196,86,University of Illinois at Urbana-Champaign,1968,Henderson,Kentucky
1699,David Benoit,203,99,University of Alabama,1968,Lafayette,Louisiana
1700,Terrell Brandon,180,81,University of Oregon,1970,Portland,Oregon
1701,Kevin Brooks,198,90,University of Louisiana at Lafayette,1969,Beaufort,South Carolina
1702,Myron Brown,190,81,Slippery Rock University of Pennsylvania,1969,McKees Rocks,Pennsylvania
1703,Randy Brown,203,99,University of Idaho,1965,Atlanta,Georgia
1704,Demetrius Calip,185,74,University of Michigan,1969,Flint,Michigan
1705,Pete Chilcutt,208,104,University of North Carolina,1968,Sumter,South Carolina
1706,Marty Conlon,208,101,Providence College,1968,Bronx,New York
1707,Tom Copa,208,124,Marquette University,1964,Robbinsdale,Minnesota
1708,Chris Corchiani,183,83,North Carolina State University,1968,Coral Gables,Florida
1709,Corey Crowder,196,97,Kentucky Wesleyan College,1969,Carrollton,Georgia
1710,Dale Davis,211,104,Clemson University,1969,Toccoa,Georgia
1711,Bison Dele,206,106,University of Arizona,1969,Fresno,California
1712,Patrick Eddie,211,108,University of Mississippi,1967,Milwaukee,Wisconsin
1713,LeRon Ellis,208,95,St. John's University,1940,Far Rockaway,New York
1714,Rick Fox,201,104,University of North Carolina,1969,Toronto,Canada
1715,Chris Gatling,208,99,Old Dominion University,1967,Elizabeth,New Jersey
1716,Paul Graham,198,90,Ohio University,1967,Philadelphia,Pennsylvania
1717,Sean Green,196,95,Iona College,1970,Santa Monica,California
1718,Carl Herrera,206,97,University of Houston,1966,Trinidad,Trinidad and Tobago
1719,Donald Hodge,213,104,Temple University,1969,Washington,District of Columbia
1720,Brian Howard,198,92,North Carolina State University,1967,Winston-Salem,North Carolina
1721,Cedric Hunter,183,81,University of Kansas,1965,Wichita Falls,Texas
1722,Mike Iuzzolino,178,79,Saint Francis University,1968,Altoona,Pennsylvania
1723,Rich King,218,117,University of Nebraska,1969,Lincoln,Nebraska
1724,Doug Lee,196,90,Purdue University,1964,Washington,Illinois
1725,Luc Longley,218,120,University of New Mexico,1969,Melbourne,Australia
1726,Kevin Lynch,196,88,University of Minnesota,1968,Bloomington,Minnesota
1727,Mark Macon,196,83,Temple University,1969,Saginaw,Michigan
1728,Tharon Mayes,190,79,Florida State University,1968,New Haven,Connecticut
1729,Rodney Monroe,190,83,North Carolina State University,1968,Baltimore,Maryland
1730,Tracy Moore,193,90,University of Tulsa,1965,Oklahoma City,Oklahoma
1731,Eric Murdock,185,86,Providence College,1968,Somerville,New Jersey
1732,Dikembe Mutombo*,218,111,Georgetown University,1966,Kinshasa,Democratic Republic of the Congo
1733,Jimmy Oliver,196,92,Purdue University,1969,Menifee,Arkansas
1734,Billy Owens,203,99,Syracuse University,1969,Carlisle,Pennsylvania
1735,Keith Owens,201,102,"University of California, Los Angeles",1969,San Francisco,California
1736,Robert Pack,188,81,University of Southern California,1969,New Orleans,Louisiana
1737,Elliot Perry,183,68,University of Memphis,1969,Memphis,Tennessee
1738,Bobby Phills,196,95,Southern University and A&M College,1969,Baton Rouge,Louisiana
1739,Mark Randall,203,106,University of Kansas,1967,Edina,Minnesota
1740,Stanley Roberts,213,129,Louisiana State University,1970,Hopkins,South Carolina
1741,LaBradford Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
1742,Steve Smith,201,90,Michigan State University,1969,Highland Park,Michigan
1743,Larry Stewart,203,99,Coppin State University,1968,Philadelphia,Pennsylvania
1744,Derek Strong,203,99,Xavier University,1968,Los Angeles,California
1745,Lamont Strothers,193,86,Christopher Newport University,1968,Nansemond County,Virginia
1746,Greg Sutton,188,77,Oral Roberts University,1967,Santa Cruz,California
1747,Carl Thomas,193,79,Eastern Michigan University,1969,Dayton,Ohio
1748,Charles Thomas,190,79,Eastern Michigan University,1969,Dayton,Ohio
1749,Stephen Thompson,193,83,Syracuse University,1968,Los Angeles,California
1750,John Turner,203,111,Phillips University,1967,Washington,District of Columbia
1751,Eric Anderson,206,99,Indiana University,1970,Chicago,Illinois
1752,Anthony Avent,206,106,Seton Hall University,1969,Rocky Mount,North Carolina
1753,Jon Barry,193,88,Georgia Institute of Technology,1969,Oakland,California
1754,Tony Bennett,183,79,University of Wisconsin-Green Bay,1969,Green Bay,Wisconsin
1755,Alex Blackwell,198,113,Monmouth University,1970,Toms River,New Jersey
1756,Ricky Blanton,201,97,Louisiana State University,1966,Miami,Florida
1757,Walter Bond,196,90,University of Minnesota,1969,Chicago,Illinois
1758,Dexter Cambridge,201,101,University of Texas at Austin,1970,Eleuthra,Bahamas
1759,Doug Christie,198,90,Pepperdine University,1970,Seattle,Washington
1760,Duane Cooper,185,83,University of Southern California,1969,Benton Harbor,Michigan
1761,Joe Courtney,203,106,University of Southern Mississippi,1969,Jackson,Mississippi
1762,John Crotty,185,83,University of Virginia,1969,Orange,New Jersey
1763,Lloyd Daniels,201,92,Mount San Antonio College,1967,Brooklyn,New York
1764,Hubert Davis,196,83,University of North Carolina,1970,Winston-Salem,North Carolina
1765,Todd Day,198,85,University of Arkansas,1970,Decatur,Illinois
1766,Pat Durham,201,95,Colorado State University,1967,Dallas,Texas
1767,LaPhonso Ellis,203,108,University of Notre Dame,1970,East St. Louis,Illinois
1768,Matt Geiger,213,110,Georgia Institute of Technology,1969,Salem,Massachusetts
1769,Litterial Green,185,83,University of Georgia,1970,Pascagoula,Mississippi
1770,Tom Gugliotta,208,108,North Carolina State University,1969,Huntington Station,New York
1771,Jay Guidinger,208,115,University of Minnesota Duluth,1969,Milwaukee,Wisconsin
1772,Robert Horry,206,99,University of Alabama,1970,Andalusia,Alabama
1773,Byron Houston,196,113,Oklahoma State University,1969,Watonga,Kansas
1774,Stephen Howard,206,102,DePaul University,1970,Dallas,Texas
1775,Jim Jackson,198,99,Ohio State University,1970,Toledo,Ohio
1776,Keith Jennings,170,72,East Tennessee State University,1968,Culpepper,Virginia
1777,Dave Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
1778,Thomas Jordan,208,99,Oklahoma State University,1968,Baltimore,Maryland
1779,Adam Keefe,206,104,Stanford University,1970,Irvine,California
1780,Christian Laettner,211,106,Duke University,1969,Angola,New York
1781,Sam Mack,201,99,University of Houston,1970,Chicago,Illinois
1782,Don MacLean,208,106,"University of California, Los Angeles",1970,Palo Alto,California
1783,Marlon Maxey,203,113,University of Texas at El Paso,1969,Chicago,Illinois
1784,Lee Mayberry,185,78,University of Arkansas,1970,Tulsa,Oklahoma
1785,Oliver Miller,206,127,University of Arkansas,1970,Fort Worth,Texas
1786,Harold Miner,196,95,University of Southern California,1971,Inglewood,California
1787,Isaiah Morris,203,103,University of Arkansas,1969,Richmond,Virginia
1788,Alonzo Mourning*,208,108,Georgetown University,1970,Chesapeake,Virginia
1789,Tracy Murray,201,102,"University of California, Los Angeles",1971,Los Angeles,California
1790,Melvin Newbern,193,90,University of Minnesota,1967,Toledo,Ohio
1791,Shaquille O'Neal*,216,147,Louisiana State University,1972,Newark,New Jersey
1792,Matt Othick,188,74,University of Arizona,1969,Clovis,New Mexico
1793,Doug Overton,190,86,La Salle University,1969,Philadelphia,Pennsylvania
1794,Anthony Peeler,193,94,University of Missouri,1969,Kansas City,Missouri
1795,Brent Price,185,74,University of Oklahoma,1968,Shawnee,Oklahoma
1796,Anthony Pullard,208,111,McNeese State University,1966,DeQuincy,Louisiana
1797,Sean Rooks,208,113,University of Arizona,1969,New York,New York
1798,Malik Sealy,203,86,St. John's University,1970,Bronx,New York
1799,Chris Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut
1800,Reggie Smith,208,108,Texas Christian University,1970,San Jose,California
1801,Andre Spencer,198,95,Northern Arizona University,1964,Stockton,California
1802,Elmore Spencer,213,122,"University of Nevada, Las Vegas",1969,Atlanta,Georgia
1803,Latrell Sprewell,196,86,University of Alabama,1970,Milwaukee,Wisconsin
1804,Barry Stevens,196,88,Iowa State University,1963,Flint,Michigan
1805,Bryant Stith,196,94,University of Virginia,1970,Emporia,Virginia
1806,Clarence Weatherspoon,198,108,University of Southern Mississippi,1970,Crawford,Mississippi
1807,Marcus Webb,206,115,University of Alabama,1970,Montgomery,Alabama
1808,Robert Werdann,211,113,St. John's University,1970,Sunnyside,New York
1809,Corey Williams,188,86,Oklahoma State University,1970,Twiggs,Georgia
1810,Lorenzo Williams,206,90,Stetson University,1969,Ocala,Florida
1811,Randy Woods,178,83,La Salle University,1970,Philadelphia,Pennsylvania
1812,Gary Alexander,201,108,University of South Florida,1969,Jacksonville,Florida
1813,Vin Baker,211,105,University of Hartford,1971,Lake Wales,Florida
1814,Corie Blount,206,108,University of Cincinnati,1969,Monrovia,California
1815,Shawn Bradley,229,106,Brigham Young University,1972,Landstuhl,Germany
1816,Evers Burns,203,117,University of Maryland,1971,Baltimore,Maryland
1817,Scott Burrell,201,98,University of Connecticut,1971,New Haven,Connecticut
1818,Mitchell Butler,188,77,University of Memphis,1946,Memphis,Tennessee
1819,Sam Cassell,190,83,Florida State University,1969,Baltimore,Maryland
1820,Calbert Cheaney,201,94,Indiana University,1971,Evansville,Indiana
1821,Michael Curry,196,95,Georgia Southern University,1968,Anniston,Alabama
1822,Antonio Davis,206,97,University of Texas at El Paso,1968,Oakland,California
1823,Brian Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
1824,Terry Dehere,188,86,Seton Hall University,1971,New York,New York
1825,Dell Demps,190,92,University of the Pacific,1970,Long Beach,California
1826,Acie Earl,208,108,University of Iowa,1970,Peoria,Illinois
1827,Bill Edwards,203,97,Wright State University,1971,Middletown,Ohio
1828,Doug Edwards,201,99,Florida State University,1971,Miami,Florida
1829,Harold Ellis,196,90,Morehouse College,1970,Atlanta,Georgia
1830,Alphonso Ford,185,86,Mississippi Valley State University,1971,Greenwood,Mississippi
1831,Chad Gallagher,208,115,Creighton University,1969,Rockford,Illinois
1832,Andrew Gaze,201,92,Seton Hall University,1965,Melbourne,Australia
1833,Ricky Grace,185,81,University of Oklahoma,1967,Dallas,Texas
1834,Greg Graham,193,78,Indiana University,1970,Indianapolis,Indiana
1835,Josh Grant,206,101,University of Utah,1967,Salt Lake City,Utah
1836,Geert Hammink,213,118,Louisiana State University,1969,Didam,Netherlands
1837,Anfernee Hardaway,201,88,University of Memphis,1971,Memphis,Tennessee
1838,Lucious Harris,196,86,"California State University, Long Beach",1970,Los Angeles,California
1839,Antonio Harvey,211,102,Pfeiffer University,1970,Pascagoula,Mississippi
1840,Scott Haskin,211,113,Oregon State University,1970,Riverside,California
1841,Skeeter Henry,201,86,University of Oklahoma,1967,Dallas,Texas
1842,Allan Houston,198,90,University of Tennessee,1971,Louisville,Kentucky
1843,Lindsey Hunter,188,77,Jackson State University,1970,Utica,Mississippi
1844,Bobby Hurley,183,74,Duke University,1971,Jersey City,New Jersey
1845,Stanley Jackson,190,83,University of Alabama at Birmingham,1970,Tuskegee,Alabama
1846,Chris Jent,201,99,Ohio State University,1970,Orange,California
1847,Ervin Johnson,188,92,University of Nebraska,1966,Brooklyn,New York
1848,Popeye Jones,203,113,Murray State University,1970,Dresden,Tennessee
1849,Adonis Jordan,180,77,University of Kansas,1970,Brooklyn,New York
1850,Reggie Jordan,193,88,New Mexico State University,1968,Chicago,Illinois
1851,Warren Kidd,206,106,Middle Tennessee State University,1970,Harpersville,Alabama
1852,Chris King,203,97,Wake Forest University,1969,Newton Grove,North Carolina
1853,George Lynch,203,98,University of North Carolina,1970,Roanoke,Virginia
1854,Malcolm Mackey,206,112,Georgia Institute of Technology,1970,Chattanooga,Tennessee
1855,Gerald Madkins,193,90,"University of California, Los Angeles",1969,Merced,California
1856,Bob Martin,213,113,University of Minnesota,1969,Minneapolis,Minnesota
1857,Jamal Mashburn,203,108,University of Kentucky,1972,New York,New York
1858,Darnell Mee,196,79,Western Kentucky University,1971,Cleveland,Tennessee
1859,Chris Mills,198,97,University of Arizona,1970,Los Angeles,California
1860,Darren Morningstar,208,106,University of Pittsburgh,1969,Stevenson,Washington
1861,Bo Outlaw,203,95,University of Houston,1971,San Antonio,Texas
1862,Mike Peplowski,208,122,Michigan State University,1970,Detroit,Michigan
1863,Richard Petruska,208,117,"University of California, Los Angeles",1969,Levice,Slovakia
1864,Isaiah Rider,196,97,"University of Nevada, Las Vegas",1971,Oakland,California
1865,Eric Riley,213,111,University of Michigan,1970,Cleveland,Ohio
1866,James Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
1867,Rodney Rogers,201,106,Wake Forest University,1971,Durham,North Carolina
1868,Bryon Russell,201,102,"California State University, Long Beach",1970,San Bernardino,California
1869,Kevin Thompson,211,117,North Carolina State University,1971,Winston-Salem,North Carolina
1870,Keith Tower,211,113,University of Notre Dame,1970,Libby,Montana
1871,Rex Walters,193,86,University of Kansas,1970,Omaha,Nebraska
1872,Chris Webber,206,111,University of Michigan,1973,Detroit,Michigan
1873,Matt Wenstrom,216,113,University of North Carolina,1970,Minneapolis,Minnesota
1874,David Wesley,183,86,Baylor University,1970,San Antonio,Texas
1875,Chris Whitney,183,76,Clemson University,1971,Hopkinsville,Kentucky
1876,Aaron Williams,206,99,Xavier University,1971,Evanston,Illinois
1877,Luther Wright,218,122,Seton Hall University,1971,Jersey City,New Jersey
1878,Derrick Alston,211,102,Duquesne University,1972,Bronx,New York
1879,Darrell Armstrong,183,77,Fayetteville State University,1968,Gastonia,North Carolina
1880,Elmer Bennett,183,77,University of Notre Dame,1970,Evanston,Illinois
1881,James Blackwell,183,86,Dartmouth College,1968,Mount Kisco,New York
1882,Tim Breaux,201,97,University of Wyoming,1970,Baton Rouge,Louisiana
1883,Chris Childs,190,88,Boise State University,1967,Bakersfield,California
1884,Bill Curley,206,99,Boston College,1972,Boston,Massachusetts
1885,Yinka Dare,213,120,George Washington University,1972,Kano,Nigeria
1886,Tony Dumas,198,86,University of Missouri-Kansas City,1972,Chicago,Illinois
1887,Howard Eisley,188,80,Boston College,1972,Detroit,Michigan
1888,Matt Fish,211,106,University of North Carolina at Wilmington,1969,Washington,Iowa
1889,Brian Grant,206,115,Xavier University,1972,Columbus,Ohio
1890,Darrin Hancock,201,92,University of Kansas,1971,Birmingham,Alabama
1891,Jerome Harmon,193,86,University of Louisville,1969,Gary,Indiana
1892,Grant Hill,203,102,Duke University,1972,Dallas,Texas
1893,Tom Hovasse,203,92,Pennsylvania State University,1967,Durango,Colorado
1894,Juwan Howard,206,108,University of Michigan,1973,Chicago,Illinois
1895,Askia Jones,196,90,Kansas State University,1971,Philadelphia,Pennsylvania
1896,Eddie Jones,208,102,"University of Nevada, Reno",1956,Fort Rucker,Alabama
1897,Jason Kidd,193,92,University of California,1973,San Francisco,California
1898,Antonio Lang,211,111,University of Arkansas,1966,Pine Bluff,Arkansas
1899,Ryan Lorthridge,193,86,Jackson State University,1972,Nashville,Tennessee
1900,Donyell Marshall,206,98,University of Connecticut,1973,Reading,Pennsylvania
1901,Darrick Martin,180,77,"University of California, Los Angeles",1971,Denver,Colorado
1902,Jim McIlvaine,216,108,Marquette University,1972,Racine,Wisconsin
1903,Aaron McKie,196,94,Temple University,1972,Philadelphia,Pennsylvania
1904,Anthony Miller,206,102,Michigan State University,1971,Benton Harbor,Michigan
1905,Greg Minor,198,95,University of Louisville,1971,Sandersville,Georgia
1906,Eric Mobley,211,106,University of Pittsburgh,1970,Bronx,New York
1907,Eric Montross,213,122,University of North Carolina,1971,Indianapolis,Indiana
1908,Dwayne Morton,201,88,University of Louisville,1971,Louisville,Kentucky
1909,Lamond Murray,201,107,University of California,1973,Pasadena,California
1910,Ivano Newbill,206,111,Georgia Institute of Technology,1970,Sedalia,Missouri
1911,Julius Nwosu,208,115,Liberty University,1971,Nkwere,Nigeria
1912,Wesley Person,198,88,Auburn University,1971,Crenshaw,Alabama
1913,Derrick Phelps,193,82,University of North Carolina,1972,Queens,New York
1914,Eric Piatkowski,201,97,University of Nebraska,1970,Steubenville,Ohio
1915,Eldridge Recasner,190,86,University of Washington,1967,New Orleans,Louisiana
1916,Khalid Reeves,190,90,University of Arizona,1972,Queens,New York
1917,Glenn Robinson,201,102,Purdue University,1973,Gary,Indiana
1918,Carlos Rogers,211,99,Tennessee State University,1971,Detroit,Michigan
1919,Jalen Rose,203,95,University of Michigan,1973,Detroit,Michigan
1920,Clifford Rozier,211,111,University of Louisville,1972,Bradenton,Florida
1921,Trevor Ruffin,185,83,University of Hawaii,1970,Buffalo,New York
1922,Dickey Simpkins,206,112,Providence College,1972,Fort Washington,Maryland
1923,Reggie Slater,201,97,University of Wyoming,1970,Houston,Texas
1924,Mark Strickland,206,95,Temple University,1970,Atlanta,Georgia
1925,Aaron Swinson,196,104,Auburn University,1971,Brunswick,Georgia
1926,Brooks Thompson,193,87,Oklahoma State University,1970,Dallas,Texas
1927,Anthony Tucker,203,99,Wake Forest University,1969,Washington,District of Columbia
1928,Fred Vinson,193,86,Georgia Institute of Technology,1971,Murfreesboro,North Carolina
1929,Charlie Ward,188,86,Florida State University,1970,Thomasville,Georgia
1930,Jamie Watson,201,86,University of South Carolina,1972,Elm City,North Carolina
1931,Monty Williams,203,102,University of Notre Dame,1971,Fredericksburg,Virginia
1932,Dontonio Wingfield,203,116,University of Cincinnati,1974,Albany,Georgia
1933,Sharone Wright,211,117,Clemson University,1973,Macon,Georgia
1934,Cory Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia
1935,Jerome Allen,193,83,University of Pennsylvania,1973,Philadelphia,Pennsylvania
1936,John Amaechi,208,122,Pennsylvania State University,1970,Boston,Massachusetts
1937,Ashraf Amaya,203,104,Southern Illinois University,1971,Oak Park,Illinois
1938,Brent Barry,198,83,Oregon State University,1971,Hempstead,New York
1939,Corey Beck,185,86,University of Arkansas,1971,Memphis,Tennessee
1940,Mario Bennett,198,106,Arizona State University,1973,Denton,Texas
1941,Travis Best,180,82,Georgia Institute of Technology,1972,Springfield,Massachusetts
1942,Melvin Booker,185,83,University of Missouri,1972,Pascagoula,Mississippi
1943,Donnie Boyce,196,88,University of Colorado,1973,Chicago,Illinois
1944,Marques Bragg,203,104,Providence College,1970,East Orange,New Jersey
1945,Junior Burrough,203,109,University of Virginia,1973,Charlotte,North Carolina
1946,Jason Caffey,203,115,University of Alabama,1973,Mobile,Alabama
1947,Chris Carr,196,93,Southern Illinois University,1974,Ironton,Missouri
1948,Randolph Childress,188,85,Wake Forest University,1972,Washington,District of Columbia
1949,Robert Churchwell,198,88,Georgetown University,1972,South Bend,Indiana
1950,Charles Claxton,213,120,University of Georgia,1970,St. Thomas,U.S. Virgin Islands
1951,John Coker,213,114,Boise State University,1971,Richland,Washington
1952,Andrew DeClercq,208,104,University of Florida,1973,Detroit,Michigan
1953,Tyus Edney,178,68,"University of California, Los Angeles",1973,Gardena,California
1954,Michael Finley,201,97,University of Wisconsin,1973,Melrose Park,Illinois
1955,Sherell Ford,201,95,University of Illinois at Chicago,1972,Baton Rouge,Louisiana
1956,Anthony Goldwire,185,82,University of Houston,1971,West Palm Beach,Florida
1957,Thomas Hamilton,218,149,University of Pittsburgh,1975,Chicago,Illinois
1958,Alvin Heggs,203,102,University of Texas at Austin,1967,Jacksonville,Florida
1959,Alan Henderson,206,106,Indiana University,1972,Indianapolis,Indiana
1960,Fred Hoiberg,193,92,Iowa State University,1972,Lincoln,Nebraska
1961,Darryl Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
1962,Frankie King,185,83,Western Carolina University,1972,Baxley,Georgia
1963,Jimmy King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
1964,Voshon Lenard,193,92,University of Minnesota,1973,Detroit,Michigan
1965,Cedric Lewis,208,106,University of Maryland,1969,Washington,District of Columbia
1966,Martin Lewis,196,95,Seward County Community College,1975,Liberal,Kansas
1967,Rich Manning,211,114,University of Washington,1970,Tacoma,Washington
1968,Donny Marshall,206,98,University of Connecticut,1973,Reading,Pennsylvania
1969,Cuonzo Martin,196,96,Purdue University,1971,St. Louis,Missouri
1970,Clint McDaniel,193,81,University of Arkansas,1972,Tulsa,Oklahoma
1971,Antonio McDyess,206,99,University of Alabama,1974,Quitman,Mississippi
1972,Loren Meyer,208,116,Iowa State University,1972,Emmetsburg,Iowa
1973,Lawrence Moten,196,83,Syracuse University,1972,Washington,District of Columbia
1974,Todd Mundt,213,113,Delta State University,1970,Iowa City,Iowa
1975,Howard Nathan,180,79,University of Louisiana at Monroe,1972,Peoria,Illinois
1976,Ed O'Bannon,203,100,"University of California, Los Angeles",1972,Los Angeles,California
1977,Greg Ostertag,218,127,University of Kansas,1973,Dallas,Texas
1978,Theo Ratliff,208,102,University of Wyoming,1973,Demopolis,Alabama
1979,Bryant Reeves,213,124,Oklahoma State University,1973,Fort Smith,Arkansas
1980,Don Reid,203,113,Georgetown University,1973,Washington,District of Columbia
1981,Terrence Rencher,190,83,University of Texas at Austin,1973,Bronx,New York
1982,Shawn Respert,185,88,Michigan State University,1972,Detroit,Michigan
1983,Lou Roe,201,99,University of Massachusetts Amherst,1972,Atlantic City,New Jersey
1984,Joe Smith,213,106,University of Southern Colorado,1944,Columbus,Mississippi
1985,Eric Snow,190,86,Michigan State University,1973,Canton,Ohio
1986,Jerry Stackhouse,198,98,University of North Carolina,1974,Kinston,North Carolina
1987,Damon Stoudamire,178,77,University of Arizona,1973,Portland,Oregon
1988,Bob Sura,196,90,Florida State University,1973,Wilkes-Barre,Pennsylvania
1989,Larry Sykes,206,115,Xavier University,1973,Toledo,Ohio
1990,Kurt Thomas,206,104,Texas Christian University,1972,Dallas,Texas
1991,Gary Trent,203,113,Ohio University,1974,Columbus,Ohio
1992,Logan Vander,203,97,University of Wisconsin-Green Bay,1971,Valders,Wisconsin
1993,David Vaughn,211,99,Oral Roberts University,1952,Nashville,Tennessee
1994,Rasheed Wallace,208,102,University of North Carolina,1974,Philadelphia,Pennsylvania
1995,Jeff Webster,203,105,University of Oklahoma,1971,Pine Bluff,Arkansas
1996,Dwayne Whitfield,206,108,Jackson State University,1972,Aberdeen,Mississippi
1997,Eric Williams,203,99,Providence College,1972,Newark,New Jersey
1998,Corliss Williamson,188,86,Oklahoma State University,1970,Twiggs,Georgia
1999,George Zidek,213,113,"University of California, Los Angeles",1973,Zlin,Czech Republic
2000,Shareef Abdur-Rahim,206,102,University of California,1976,Marietta,Georgia
2001,Ray Allen,203,99,Florida State University,1965,Milton,Florida
2002,Shandon Anderson,198,94,University of Georgia,1973,Atlanta,Georgia
2003,Dexter Boney,193,83,"University of Nevada, Las Vegas",1970,Wilmington,Delaware
2004,Bruce Bowen,201,83,"California State University, Fullerton",1971,Merced,California
2005,Marcus Brown,190,83,Murray State University,1974,West Memphis,Arkansas
2006,Marcus Camby,211,99,University of Massachusetts Amherst,1974,Hartford,Connecticut
2007,Jimmy Carruth,208,120,Virginia Polytechnic Institute and State University,1969,El Paso,Texas
2008,Erick Dampier,211,120,Mississippi State University,1975,Jackson,Mississippi
2009,Ben Davis,206,108,University of Arizona,1972,Vero Beach,Florida
2010,Emanual Davis,193,88,Delaware State University,1968,Philadelphia,Pennsylvania
2011,Tony Delk,185,85,University of Kentucky,1974,Covington,Tennessee
2012,Nate Driggers,196,97,University of Montevallo,1973,Chicago,Illinois
2013,Brian Evans,203,99,Indiana University,1973,Rockford,Illinois
2014,Jamie Feick,206,115,Michigan State University,1974,Lexington,Ohio
2015,Derek Fisher,185,90,University of Arkansas at Little Rock,1974,Little Rock,Arkansas
